url,topic
https://www.bundestag.de/dokumente/textarchiv/2025/kw37-de-kernkraftwerke-1099334,Nukleare Sicherheit
https://www.bundestag.de/dokumente/textarchiv/2025/kw37-de-kriegsgraeberfuersorge-1099332,Kultur
https://www.bundestag.de/dokumente/textarchiv/2025/kw37-de-batterierecht-1099336,Umwelt
